i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
84	-522.323042511	688.445070774	718.388724539	-434.135461014	774.45183683	649.116779254	88.1875814964	86.0067660558	-69.271945285
85	-544.933776267	685.454361986	730.029933585	-484.84396404	725.25082914	639.42985227	60.0898122277	39.7964671541	-90.600081315
86	-568.054122219	682.179126383	741.804693223	-490.272489269	680.128259917	692.497424389	77.7816329507	-2.05086646644	-49.307268834
87	-591.701165647	678.607418261	753.716052935	-661.164942215	692.306072013	670.151059542	-69.4637765672	13.6986537521	-83.5649933926
88	-615.892706748	674.726657883	765.767110192	-578.030141499	575.330070676	718.239553904	37.8625652488	-99.3965872073	-47.5275562874
89	-640.647295231	670.523594469	777.961009023	-670.258760874	593.689167399	716.698683497	-29.6114656424	-76.8344270696	-61.2623255256
90	-665.984266754	665.984266754	790.300938234	-733.509348767	669.799831471	782.645317335	-67.5250820128	3.81556471683	-7.65562089838
91	-691.923781285	661.093960963	802.79012923	-701.209761408	676.478621979	741.258432726	-9.28598012278	15.3846610161	-61.5316965043
92	-718.48686351	655.837165998	815.431853406	-749.630377205	719.968313158	739.570722406	-31.1435136956	64.1311471594	-75.8611309999
93	-745.695445374	650.197525657	828.229419035	-674.557478858	691.734113194	865.640098384	71.1379665155	41.5365875366	37.4106793493
94	-773.572410881	644.157787657	841.186167601	-836.998815606	727.86092195	927.294630443	-63.4264047242	83.7031342937	86.1084628423
95	-802.141643257	637.699749251	854.305469522	-721.665721728	633.090527431	757.30053058	80.4759215297	-4.60922182008	-97.0049389422
96	-831.428074597	630.804199185	867.590719161	-861.105861927	728.737260641	821.577373846	-29.6777873299	97.9330614565	-46.0133453148
97	-861.457738122	623.450855734	881.04532907	-915.020553571	592.973765613	781.35141702	-53.5628154491	-30.4770901208	-99.6939120494
98	-892.257823162	615.618300538	894.672723358	-903.691601218	579.336604399	921.741762468	-11.433778056	-36.2816961397	27.0690391105
99	-923.856733	607.283907946	908.476330083	-870.348716278	603.423682725	988.182984946	53.5080167213	-3.86022522157	79.7066548627
100	-956.284145693	598.423769527	922.459572556	-923.753016277	566.179648489	856.034433771	32.5311294168	-32.2441210388	-66.4251387859
101	-989.571078015	589.012613427	936.625859427	-906.212526055	649.990264857	851.388094898	83.35855196	60.9776514304	-85.2377645288
102	-1023.74995263	579.023718185	950.978573406	-1057.1546735	567.471962723	1027.14330398	-33.4047208768	-11.5517554612	76.1647305763
103	-1058.85466862	568.42882063	965.521058471	-1000.02855331	479.238091992	910.753758358	58.8261153063	-89.1907286387	-54.7673001132
104	-1094.92067553	557.19801743	980.256605371	-1028.06161026	616.932784784	983.017890566	66.8590652675	59.734767354	2.76128519491
105	-1131.98505098	545.299659839	995.188435234	-1128.60278961	512.386815549	1078.50451012	3.38226137018	-32.9128442899	83.3160748859
106	-1170.08658197	532.700241194	1010.31968106	-1232.32762196	527.669770968	957.401695866	-62.2410399894	-5.03047022595	-52.9179851986
107	-1209.26585003	519.364276621	1025.65336687	-1307.93522411	468.536979662	1121.51646024	-98.6693740743	-50.8272969589	95.8630933744
108	-1249.56532015	505.254174439	1041.19238414	-1341.88507802	481.92736937	970.196727809	-92.3197578689	-23.3268050688	-70.9956563348
109	-1291.02943371	490.330098687	1056.93946543	-1358.06915344	582.698624518	1109.92244134	-67.0397197394	92.368525831	52.9829759067
110	-1333.70470526	474.549822176	1072.89715458	-1268.49033403	482.917670527	1092.36583876	65.2143712301	8.36784835058	19.4686841763
111	-1377.63982334	457.868569437	1089.06777334	-1473.49542441	490.91861163	1007.21537407	-95.8556010714	33.0500421932	-81.852399269
112	-1422.88575505	440.238848908	1105.45338385	-1485.2074692	467.489033186	1119.22837255	-62.3217141556	27.2501842778	13.7749886944
113	-1469.49585444	421.610273679	1122.05574663	-1432.62781041	343.33443426	1050.06294144	36.868044031	-78.2758394197	-71.9928051915
114	-1517.52597447	401.929370074	1138.87627337	-1417.92838938	433.793994454	1128.08261249	99.5975850872	31.8646243791	-10.7936608852
115	-1567.03458229	381.139373347	1155.91597418	-1479.99739704	291.363242068	1126.8151896	87.0371852494	-89.7761312794	-29.1007845793
116	-1618.08287747	359.180009737	1173.17539835	-1551.31925587	413.655253722	1160.50693325	66.7636216025	54.4752439849	-12.6684651082
117	-1670.73491277	335.987264139	1190.65456825	-1647.23148514	246.291015715	1160.88820643	23.5034276319	-89.6962484244	-29.7663618179
118	-1725.05771676	311.493132618	1208.35290515	-1756.00529964	338.532606916	1197.75626231	-30.9475828799	27.0394742979	-10.5966428384
119	-1781.12141758	285.625359047	1226.26914643	-1807.24865612	253.551492841	1142.26658008	-26.1272385417	-32.0738662053	-84.0025663542
120	-1838.99936678	258.307155144	1244.40125299	-1789.81174576	182.873942422	1232.22455636	49.1876210219	-75.4332127214	-12.1766966336
121	-1898.7682622	229.456903262	1262.74630573	-1978.32407848	173.189923461	1344.73167483	-79.5558162785	-56.2669798015	81.9853691008
122	-1960.50826815	198.987841347	1281.30038999	-1997.58056553	228.338952974	1193.43344214	-37.0722973809	29.3511116268	-87.8669478502
123	-2024.30313128	166.807729588	1300.05846652	-1956.31616126	192.481412831	1325.81951155	67.9869700241	25.6736832424	25.7610450318
124	-2090.24028988	132.818498446	1319.01422741	-2029.56720805	37.2493240364	1261.35108947	60.67308183	-95.5691744101	-57.6631379413
125	-2158.4109738	96.9158779302	1338.15993555	-2249.8076158	182.691656491	1379.91840468	-91.3966419939	85.7757785604	41.7584691297
126	-2228.91029201	58.9890082483	1357.48624543	-2299.83374949	137.367994826	1350.6008206	-70.9234574721	78.3789865776	-6.88542482739
127	-2301.83730376	18.9200323056	1376.98200368	-2274.53936179	-69.516109711	1473.14200259	27.2979419738	-88.4361420166	96.1599989126
128	-2377.29506885	-23.4163290835	1396.6340268	-2474.31110575	-14.7401052012	1406.23401142	-97.0160369033	8.6762238823	9.59998462315
129	-2455.39067157	-68.1532178566	1416.42685393	-2471.70447914	-133.153952902	1501.41827092	-16.313807569	-65.0007350457	84.9914169825
130	-2536.23521183	-115.432093185	1436.34247192	-2576.66605958	-88.3210272268	1522.45552323	-40.4308477588	27.1110659585	86.1130513067
131	-2619.94375584	-165.403196909	1456.36000991	-2612.61755094	-124.041338975	1461.58519548	7.32620490606	41.3618579339	5.22518556622
132	-2706.63523751	-218.226026064	1476.45540044	-2626.0497206	-248.719193453	1387.27229856	80.5855169088	-30.4931673898	-89.1831018785
133	-2796.43229982	-274.06980744	1496.60100381	-2893.83404955	-273.9565385	1439.7057903	-97.4017497379	0.113268939594	-56.8952135115
134	-2889.46106411	-333.11396762	1516.76519226	-2817.52118566	-303.488160258	1496.77204647	71.9398784452	29.6258073619	-19.9931457893
135	-2985.85081278	-395.548590178	1536.91189043	-3046.08560743	-447.231118963	1518.34001371	-60.2347946454	-51.682528785	-18.571876719
136	-3085.7335688	-461.574849592	1557.00006846	-3092.81431712	-386.62249977	1499.47682346	-7.08074832087	74.9523498219	-57.5232450004
137	-3189.24355264	-531.40540883	1576.98318382	-3099.79093596	-553.878613759	1498.80043109	89.4526166823	-22.473204929	-78.1827527327
138	-3296.51649447	-605.264764586	1596.80856841	-3295.9593646	-648.133492388	1513.59833002	0.557129870893	-42.8687278016	-83.2102383846
139	-3407.68877599	-683.389520469	1616.41675723	-3500.19829667	-668.560102948	1714.18724359	-92.5095206818	14.8294175213	97.7704863602
140	-3522.89637257	-766.028564285	1635.74075563	-3584.56476407	-790.913648509	1623.89637966	-61.6683914982	-24.8850842237	-11.8443759705
141	-3642.27356271	-853.443120566	1654.70524232	-3699.42941466	-788.01868509	1730.43331574	-57.1558519544	65.4244354767	75.7280734169
142	-3765.95136699	-945.906643763	1673.22570658	-3770.02641473	-878.993066053	1742.86867428	-4.07504774074	66.9135777099	69.6429676946
143	-3894.05567473	-1043.70451095	1691.20751907	-3860.05685142	-1021.78574013	1768.89222736	33.9988233054	21.9187708243	77.6847082911
144	-4026.70501143	-1147.13346535	1708.54493731	-3928.90262843	-1145.46242691	1692.96209349	97.8023830047	1.67103844239	-15.5828438203
145	-4164.0078956	-1256.50075353	1725.12004938	-4136.76592927	-1237.30999915	1703.83539164	27.2419663287	19.1907543781	-21.2846577479
146	-4306.0597292	-1372.12288974	1740.80166206	-4358.97627596	-1319.33759378	1653.44998339	-52.9165467655	52.7852959678	-87.3516786624
147	-4452.93916193	-1494.32397064	1755.44414356	-4436.46222052	-1470.39821231	1826.15826211	16.4769414139	23.925758332	70.7141185523
148	-4604.70386702	-1623.43345257	1768.88623597	-4520.35880115	-1575.33676517	1724.47590252	84.345065863	48.0966874013	-44.4103334456
149	-4761.38566453	-1759.78329241	1780.94985821	-4742.21550997	-1804.48861519	1841.73411965	19.170154555	-44.7053227819	60.7842614381
150	-4922.98492994	-1903.70434158	1791.43892798	-4998.32136861	-1870.11675089	1867.64827651	-75.3364386727	33.5875906831	76.2093485263
151	-5089.46422968	-2055.52187225	1800.13823998	-5106.94486412	-2106.2198381	1889.89269767	-17.4806344464	-50.6979658522	89.7544576829
152	-5260.74113476	-2215.55010589	1806.8124484	-5163.61953908	-2136.83220591	1846.97330215	97.1215956724	78.717899972	40.1608537489
153	-5436.68017836	-2384.08560846	1811.2052139	-5475.51679432	-2323.47497615	1839.21664288	-38.8366159668	60.6106323088	28.0114289801
154	-5617.08394618	-2561.39941534	1813.03858981	-5578.91957463	-2480.12268747	1761.72840505	38.1643715502	81.2767278695	-51.3101847653
155	-5801.68332048	-2747.72775459	1812.01273779	-5827.52509141	-2707.29360629	1821.23352174	-25.8417709238	40.4341482985	9.22078394745
156	-5990.12694279	-2943.2612526	1807.80608029	-5961.86118927	-2951.25141428	1761.09435246	28.2657535265	-7.99016167989	-46.7117278307
157	-6181.97001782	-3148.13253408	1800.07601496	-6194.6731888	-3139.09282747	1755.76724914	-12.7031709741	9.03970660452	-44.3087658251
158	-6376.6626545	-3362.40217246	1788.46033304	-6314.05415394	-3297.34343243	1867.10656303	62.6085005575	65.0587400305	78.646229989
159	-6573.53802994	-3586.04301214	1772.5794988	-6497.87049457	-3545.74658419	1787.42851395	75.6675353765	40.29642795	14.8490151513
160	-6771.80076951	-3818.92297208	1752.03995822	-6740.8913025	-3880.80998019	1785.72100529	30.9094670076	-61.8870081132	33.6810470634
161	-6970.51605912	-4060.78655746	1726.43864875	-6974.45065694	-4148.07440831	1732.39935994	-3.93459782652	-87.2878508459	5.96071118942
162	-7168.60014113	-4311.23545185	1695.36887547	-7174.35261409	-4375.37290098	1602.25398972	-5.75247296154	-64.1374491313	-93.1148857534
163	-7364.81298591	-4569.70873808	1658.42769851	-7432.40313275	-4561.77871634	1630.04522347	-67.5901468382	7.93002174056	-28.3824750447
164	-7557.75406629	-4835.46349816	1615.22493663	-7526.63862565	-4788.36320894	1580.72032219	31.1154406392	47.1002892236	-34.5046144392
165	-7745.86227725	-5107.55676172	1565.39383013	-7770.08868923	-5146.65210145	1567.89210061	-24.2264119791	-39.0953397332	2.49827048376
166	-7927.42111761	-5384.82999628	1508.60331771	-7963.43810376	-5299.14259585	1583.72792051	-36.0169861561	85.6874004251	75.1246028047
167	-8100.57026061	-5665.89753825	1444.57176605	-8179.1654841	-5718.76360021	1490.65012486	-78.5952234896	-52.8660619632	46.0783588116
168	-8263.32456029	-5949.14052311	1373.08184827	-8332.93518962	-5967.51595974	1349.93392463	-69.6106293309	-18.3754366257	-23.1479236334
169	-8413.60134251	-6232.70795256	1293.99610344	-8331.0349011	-6198.01120181	1334.70117267	82.5664414132	34.6967507495	40.705069224
170	-8549.25649497	-6514.52649576	1207.27253458	-8467.93064567	-6526.76259258	1124.98359653	81.3258493085	-12.2360968276	-82.2889380524
171	-8668.12938611	-6792.3204255	1112.97943174	-8699.11340853	-6762.77870111	1077.39958023	-30.9840224204	29.5417243899	-35.5798515133
172	-8768.09601693	-7063.64270704	1011.3084627	-8805.04375071	-7144.6744245	1018.09131984	-36.9477337842	-81.0317174662	6.78285714519
173	-8847.12907033	-7325.91767569	902.584980191	-8857.94139746	-7358.56995572	872.189424607	-10.8123271325	-32.6522800284	-30.3955555842
174	-8903.36272512	-7576.49496942	787.274478234	-9003.12880662	-7657.80636224	746.427293974	-99.7660815065	-81.3113928188	-40.84718426
175	-8935.15932773	-7812.71346755	665.984213667	-8916.9985516	-7840.31162709	713.470929755	18.1607761306	-27.5981595396	47.4867160878
176	-8941.17436455	-8031.97300357	539.459206846	-8851.34564401	-7934.75454438	609.950629212	89.8287205464	97.2184591876	70.4914223662
177	-8920.41575991	-8231.81067507	408.572147861	-8943.57508671	-8248.27744134	405.772704759	-23.1593267947	-16.466766265	-2.79944310252
178	-8872.29343584	-8409.9777932	274.307145366	-8828.57388919	-8472.10492728	262.877421998	43.7195466552	-62.1271340812	-11.4297233675
179	-8796.65537712	-8564.51302268	137.737728709	-8705.66295165	-8539.49556173	89.9738338211	90.9924254702	25.0174609458	-47.763894888
180	-8693.80716401	-8693.80716401	9.67839514371e-13	-8616.17848259	-8641.99808852	-10.2523913227	77.6286814201	51.8090754896	-10.2523913227
181	-8564.51302268	-8796.65537712	-137.737728709	-8508.02658139	-8742.09779753	-145.653948907	56.4864412849	54.5575795932	-7.91622019766
182	-8409.9777932	-8872.29343584	-274.307145366	-8431.75750168	-8952.0459307	-234.379075699	-21.7797084892	-79.752494858	39.9280696663
183	-8231.81067507	-8920.41575991	-408.572147861	-8185.68071309	-8852.66073199	-488.764105386	46.1299619806	67.7550279236	-80.1919575241
184	-8031.97300357	-8941.17436455	-539.459206846	-7938.25251315	-8987.99486632	-555.030255352	93.7204904209	-46.8205017672	-15.5710485059
185	-7812.71346755	-8935.15932773	-665.984213667	-7813.24800036	-8858.50092181	-752.089980876	-0.534532815176	76.6584059195	-86.1057672093
186	-7576.49496942	-8903.36272512	-787.274478234	-7582.39772941	-8868.72975955	-811.848977298	-5.90275999037	34.6329655642	-24.5744990636
187	-7325.91767569	-8847.12907033	-902.584980191	-7360.44759307	-8941.38129785	-824.00497588	-34.529917374	-94.2522275247	78.5800043118
188	-7063.64270704	-8768.09601693	-1011.3084627	-7078.94862229	-8760.06226002	-1037.65844331	-15.3059152571	8.03375690979	-26.3499806124
189	-6792.3204255	-8668.12938611	-1112.97943174	-6825.9938943	-8689.62519651	-1134.74363631	-33.6734687951	-21.4958103972	-21.7642045687
190	-6514.52649576	-8549.25649497	-1207.27253458	-6415.62562423	-8511.67876091	-1196.57211748	98.9008715225	37.5777340671	10.7004171044
191	-6232.70795256	-8413.60134251	-1293.99610344	-6327.33535548	-8376.41078125	-1387.85161618	-94.6274029244	37.1905612575	-93.8555127328
192	-5949.14052311	-8263.32456029	-1373.08184827	-5892.83933271	-8332.26033004	-1294.92680714	56.3011904083	-68.9357697522	78.155041132
193	-5665.89753825	-8100.57026061	-1444.57176605	-5747.23842054	-8013.43926094	-1500.35439473	-81.3408822933	87.1309996789	-55.7826286791
194	-5384.82999628	-7927.42111761	-1508.60331771	-5344.72735906	-7984.77793701	-1574.77437666	40.1026372174	-57.3568193988	-66.1710589493
195	-5107.55676172	-7745.86227725	-1565.39383013	-5081.71936715	-7710.70508348	-1638.56972788	25.8373945651	35.1571937735	-73.175897751
196	-4835.46349816	-7557.75406629	-1615.22493663	-4859.83188512	-7515.33710145	-1661.70512905	-24.368386954	42.4169648357	-46.4801924144
197	-4569.70873808	-7364.81298591	-1658.42769851	-4578.39581969	-7336.49861555	-1675.41211472	-8.68708160781	28.3143703544	-16.9844162069
198	-4311.23545185	-7168.60014113	-1695.36887547	-4306.13936459	-7109.39579192	-1792.24846041	5.0960872568	59.2043492168	-96.8795849363
199	-4060.78655746	-6970.51605912	-1726.43864875	-3964.51417832	-6917.70652739	-1628.14052962	96.2723791446	52.8095317296	98.2981191322
200	-3818.92297208	-6771.80076951	-1752.03995822	-3825.28865908	-6691.40116755	-1805.79181144	-6.36568699686	80.3996019575	-53.7518532171
201	-3586.04301214	-6573.53802994	-1772.5794988	-3555.19128206	-6669.3879691	-1789.74191788	30.8517300806	-95.8499391555	-17.162419082
202	-3362.40217246	-6376.6626545	-1788.46033304	-3382.93662933	-6330.80454108	-1854.11131064	-20.5344568683	45.8581134195	-65.6509776014
203	-3148.13253408	-6181.97001782	-1800.07601496	-3219.69960002	-6212.20706447	-1852.54358584	-71.5670659431	-30.2370466496	-52.4675708765
204	-2943.2612526	-5990.12694279	-1807.80608029	-2992.10893412	-5979.41835934	-1790.91286433	-48.847681515	10.7085834525	16.8932159616
205	-2747.72775459	-5801.68332048	-1812.01273779	-2671.32716103	-5717.742612	-1728.54932359	76.4005935584	83.9407084843	83.4634142004
206	-2561.39941534	-5617.08394618	-1813.03858981	-2514.96208476	-5672.90936644	-1809.28653372	46.4373305798	-55.8254202684	3.75205609431
207	-2384.08560846	-5436.68017836	-1811.2052139	-2381.56613294	-5423.62969613	-1759.68356601	2.51947552144	13.0504822236	51.5216478867
208	-2215.55010589	-5260.74113476	-1806.8124484	-2207.95698023	-5276.006547	-1766.93069946	7.59312565798	-15.2654122463	39.8817489346
209	-2055.52187225	-5089.46422968	-1800.13823998	-2062.18794748	-5138.70328644	-1747.74561519	-6.66607523533	-49.2390567671	52.3926247915
210	-1903.70434158	-4922.98492994	-1791.43892798	-1892.95826801	-4927.21907141	-1691.91771146	10.7460735628	-4.23414147753	99.5212165238
